GS,id,subjID,ROL,task,perception
G1S32,32,G1S32,VICTIMA,INTERTEMP,menos
G1S33,33,G1S33,exguerrillero,INTERTEMP,mas
G1S34,34,G1S34,victima,INTERTEMP,menos
G1S35,35,G1S35,EXPARAMILITAR,INTERTEMP,igual
G1S36,36,G1s36,exparamilitar,INTERTEMP,menos
G1S37,37,G1S37,exparamilitar,INTERTEMP,menos
G1S38,38,G1S38,VICTIMA,INTERTEMP,igual
G1S39,39,G1S39,exparamilitar,INTERTEMP,menos
G1S40,40,G1S40,victima,INTERTEMP,igual
G1S41,41,G1S41,Exguerrillero,INTERTEMP,menos
G1S42,42,G1S42,exguerrillero,INTERTEMP,menos
G1S43,43,G1S43,exparamilitar,INTERTEMP,mas
G1S44,44,G1S44,exparamilitar,INTERTEMP,igual
G1S45,45,G1S45,exparamilitar,INTERTEMP,igual
G1S46,46,G1S46,exparamilitar,INTERTEMP,menos
G1S47,47,G1S47,EXPARAMILITAR,INTERTEMP,menos
G1S48,48,G1S48,VICTIMA,INTERTEMP,menos
G1S49,49,G1S49,EXGUERRILLERO,INTERTEMP,menos
G1S50,50,G1S50,VICTIMA,INTERTEMP,menos
G1S51,51,G1S51,EXGUERRILLERO,INTERTEMP,igual
G1S52,52,G1S52,EXGUERRILLERO,INTERTEMP,menos
G1S53,53,G1S53,EXGUERRILLERO,INTERTEMP,igual
G1S54,54,G1S54,EXPARAMILITAR,INTERTEMP,menos
G1S55,55,g1s55,victima,INTERTEMP,igual
G1S56,56,g1s56,victima,INTERTEMP,igual
G1S57,57,g1s57,exguerrillero,INTERTEMP,mas
G1S58,58,g1s58,victima,INTERTEMP,mas
G1S59,59,g1s59,victima,INTERTEMP,menos
G1S60,60,G1S60,EXPARAMILITAR,INTERTEMP,menos
G1S61,61,G1S61,EXGUERRILLERO,INTERTEMP,igual
G1S62,62,G1S62,VICTIMA,INTERTEMP,menos
G1S63,63,G1S63,VICTIMA,INTERTEMP,menos
G1S64,64,G1S64,victima,INTERTEMP,menos
G1S65,65,G1S65,victima,INTERTEMP,menos
G1S66,66,g1s66,exguerrillero,INTERTEMP,menos
G1S67,67,g1s67,exguerrillero,INTERTEMP,menos
G1S68,68,G1S68,EXPARAMILITAR,INTERTEMP,igual
G1S69,69,G1S69,VICTIMA,INTERTEMP,menos
G1S70,70,g1s70,exparamilitar,INTERTEMP,menos
G1S71,71,g1s71,exguerrillero,INTERTEMP,menos
G1S72,72,G1S72,VICTIMA,INTERTEMP,menos
G1S73,73,G1S73,VICTIMA,INTERTEMP,menos
G1S74,74,G1S74,Ex paramilitar,INTERTEMP,igual
G1S75,75,G1S75,Exparamilitar,INTERTEMP,menos
G1S76,76,g1s76,victima,INTERTEMP,menos
G1S77,77,G1S77,EXGUERRILLERO,INTERTEMP,menos
G1S78,78,G1S78,EXGUERRILLERO,INTERTEMP,menos
G1S79,79,G1S79,VICTIMA,INTERTEMP,menos
G1S80,80,G1S80,Exparamilitar,INTERTEMP,mas
G1S81,81,G1S81,EXGUERRILLERO,INTERTEMP,igual
G1S82,82,G1S82,EXGUERRILLERO,INTERTEMP,mas
G1S83,83,G1S83,exparamilitar,INTERTEMP,mas
G1S84,84,G1S84,Exguerrillero,INTERTEMP,menos
G1S85,85,G1S85,Victima,INTERTEMP,menos
G1S86,86,G1S86,victima,INTERTEMP,mas
G1S87,87,G1S87,VICTIMA,INTERTEMP,menos
G1S88,88,G1S88,ex guerrillero,INTERTEMP,menos
G1S91,91,G1S91,EXGUERRILLERO,INTERTEMP,menos
G1S92,92,g1s92,exguerrillero,INTERTEMP,menos
G1S93,93,g1s93,exparamilitar,INTERTEMP,menos
G1S94,94,g1s94,victima,INTERTEMP,menos
G1S95,95,G1S95,EXGUERRILLERO,INTERTEMP,menos
G1S96,96,G1S96,exparamilitar,INTERTEMP,menos
G1S97,97,G1S97,EXPARAMILITAR,INTERTEMP,menos
G1S98,98,G1S98,EXPARAMILITAR,INTERTEMP,menos
G1S99,99,G1S99,VICTIMA,INTERTEMP,menos
G1S100,100,G1S100,EXPARAMILITAR,INTERTEMP,menos
G1S101,101,G1S101,VICTIMA,INTERTEMP,igual
G1S102,102,G1S102,VICTIMA,INTERTEMP,igual
G1S103,103,G1S103,VICTIMA,INTERTEMP,igual
G1S104,104,G1S104,EXPARAMILITAR,INTERTEMP,menos
G1S105,105,G1S105,EXGUERRILLERO,INTERTEMP,igual
G1S106,106,G1S106,VICTIMA,INTERTEMP,menos
G1S107,107,g1s107,exguerrillero,INTERTEMP,menos
G1S108,108,g1s108,exparamilitar,INTERTEMP,igual
G1S109,109,G1S109,EXPARAMILITAR,INTERTEMP,igual
G1S110,110,G1S110,VICTIMA,INTERTEMP,menos
G1S111,111,G1S111,EXPARAMILITAR,INTERTEMP,menos
G1S112,112,G1S112,VICTIMA,INTERTEMP,igual
G1S113,113,G1S113,EXGUERRILLERO,INTERTEMP,menos
G1S114,114,GS114,EXPARAMILITAR,INTERTEMP,igual
G1S115,115,G1S115,EXGUERRILLERO,INTERTEMP,igual
G1S116,116,g1s116,exparamilitar,INTERTEMP,menos
G1S117,117,g1s117,EXGUERRILLERO,INTERTEMP,igual
G1S118,118,G1S118,VICTIMA,INTERTEMP,mas
G1S119,119,G1S119,EXPARAMILITAR,INTERTEMP,menos
G1S120,120,G1S120,VICTIMA,INTERTEMP,menos
G1S121,121,G1S121,EXGUERRILERO,INTERTEMP,igual
G1S122,122,G1S122,EXGUERRILLERO,INTERTEMP,igual
G1S123,123,g1s123,ex guerrillero,INTERTEMP,menos
G1S124,124,g1s124,ex guerrillerp,INTERTEMP,mas
G1S125,125,j1s125,exparamilitar,INTERTEMP,igual
G1S126,126,g1s126,expatamilitar,INTERTEMP,menos
G1S127,127,G1S127,victima,INTERTEMP,mas
G1S128,128,G1S128,exguerrillero,INTERTEMP,menos
G1S129,129,G1S129,exparamilitar,INTERTEMP,menos
G1S130,130,G1S130,exguerrillero,INTERTEMP,menos
G1S131,131,G1S131,VICTIMA,INTERTEMP,igual
G1S132,132,G1S132,VICTIMA,INTERTEMP,igual
G1S133,133,G1S133,EXPARAMILITAR,INTERTEMP,menos
G1S134,134,G1S134,EXPARAMILITAR,INTERTEMP,menos
G1S135,135,G1S135,EXGUERRILLERO,INTERTEMP,menos
G2S1,1,G2S1,VICTIMA,INTERTEMP,mas
G2S2,2,G2S2,EXPARAMILITAR,INTERTEMP,mas
G2S3,3,G2S3,VICTIMA,INTERTEMP,menos
G2S4,4,G2S4,EXPARAMILITAR,INTERTEMP,menos
G2S5,5,G2S5,EXGUERRILLERO,INTERTEMP,igual
G2S6,6,g2s6,victima,INTERTEMP,igual
G2S7,7,g2s7,exparamilitar,INTERTEMP,menos
G2S8,8,g2s8,exguerrillero,INTERTEMP,menos
G2S9,9,g2s9,exparamilitar,INTERTEMP,igual
G2S10,10,g2s10,exguerrillero,INTERTEMP,menos
G2S11,11,g2s11,exguerrillero,INTERTEMP,menos
G2S12,12,g2s12,victima,INTERTEMP,menos
G2S13,13,G2S13,Exguerrillero,INTERTEMP,mas
G2S14,14,G2S14,EXGUERRILLERO,INTERTEMP,menos
G2S15,15,G2S15,VICTIMA,INTERTEMP,menos
G2S16,16,G2S16,EXPARAMILITAR,INTERTEMP,menos
G2S17,17,G2S17,EXPARAMILITAR,INTERTEMP,menos
G2S18,18,G2S18,VICTIMA,INTERTEMP,mas
G2S19,19,G2S19,G1S19,INTERTEMP,igual
G2S20,20,G2S20,EXGUERRILLERO,INTERTEMP,mas
G2S21,21,G2S21,EXGUERRILLERO,INTERTEMP,igual
G2S22,22,G2S22,VICTIMA,INTERTEMP,mas
G2S23,23,G2S23,EXGUERRILLERO,INTERTEMP,igual
G2S24,24,G2S24,VICTIMA,INTERTEMP,menos
G2S25,25,G2S25,EXGUERRILLERO,INTERTEMP,menos
G2S26,26,G2S26,EXGUERRILLERO,INTERTEMP,menos
G2S27,27,G2S27,VICTIMA,INTERTEMP,igual
G2S28,28,g2s28,exparamilitar,INTERTEMP,menos
G2S29,29,g2s29,victima,INTERTEMP,igual
G2S30,30,g2s30,exparamilitar,INTERTEMP,menos
G2S31,31,G2S31,exparamilitar,INTERTEMP,menos
G2S32,32,G2S32,VICTIMA,INTERTEMP,menos
G2S33,33,G2S33,EXPARAMILITAR,INTERTEMP,menos
G2S34,34,G2S34,EXPARAMILITAR,INTERTEMP,menos
G2S35,35,g2s35,ex guerillero,INTERTEMP,menos
G2S36,36,g2s36,exparamilitar,INTERTEMP,menos
G2S37,37,G2S37,VICTIMA,INTERTEMP,menos
G2S38,38,62S38,EXPARAMILITAR,INTERTEMP,menos
G2S39,39,G2S39,EXGUERRILLERO,INTERTEMP,menos
G2S40,40,g1s40,victima,INTERTEMP,menos
G2S41,41,G2S41,VICTIMA,INTERTEMP,menos
G2S42,42,g1s42,exguerrillero,INTERTEMP,menos
G2S43,43,g1s43,exparamilitar,INTERTEMP,menos
G2S44,44,G2S44,VICTIMA,INTERTEMP,menos
G2S45,45,g1s45,exparamilitar,INTERTEMP,menos
G2S46,46,G2S46,VICTIMA,INTERTEMP,menos
G2S47,47,g2s47,victima,INTERTEMP,igual
G2S48,48,g2s48,exgerrillero,INTERTEMP,mas
G2S49,49,g2s49,exguerrillero,INTERTEMP,mas
G2S50,50,s2g50,victima,INTERTEMP,menos
G2S51,51,g2s51,exguerillero,INTERTEMP,mas
G2S52,52,g2s52,victima ,INTERTEMP,menos
G2S53,53,g2s53,victima,INTERTEMP,menos
G2S54,54,g2s54,exguerrillero,INTERTEMP,menos
G2S55,55,G2S55,EXGUERRILLERO,INTERTEMP,menos
G2S56,56,G2S56,EXPARAMILITAR,INTERTEMP,menos
G2S57,57,G2S57,Exguerrillero,INTERTEMP,menos
G2S58,58,G2S58,Exparamilitar,INTERTEMP,igual
G2S59,59,G2S59,Victima,INTERTEMP,menos
G2S60,60,G2S60,EXPARAMILITAR,INTERTEMP,menos
G2S61,61,G2S61,VICTIMA,INTERTEMP,menos
G2S62,62,G2S62,VICTIMA,INTERTEMP,mas
G2S63,63,G2S63,EXPARAMILITAR,INTERTEMP,menos
G2S64,64,G2S64,G1S64,INTERTEMP,menos
G2S65,65,g2s65,exparamilitar,INTERTEMP,menos
G2S66,66,g2s66,ex paramilitar,INTERTEMP,menos
G2S67,67,g2s67,ex guerrillero,INTERTEMP,menos
G2S68,68,g2s68,exparamilitar,INTERTEMP,menos
G2S69,69,g2s69,exparamilitar,INTERTEMP,mas
G2S70,70,g2s70,ex paramilitar,INTERTEMP,menos
G2S71,71,G2s71,ex guerrillero ,INTERTEMP,mas
G2S72,72,G2S72,EXGUERRILLERO,INTERTEMP,menos
G2S73,73,g2s73,exguerrillero,INTERTEMP,menos
G2S74,74,g2s74,exguerrillero,INTERTEMP,mas
G2S75,75,g2s75,exparamilitar,INTERTEMP,igual
G2S76,76,g2s76,victima,INTERTEMP,menos
G2S77,77,G2S77,VICTIMA,INTERTEMP,menos
G2S78,78,G2S78,EXGUERRILLERO,INTERTEMP,menos
G2S79,79,G2S079,VICTIMA,INTERTEMP,igual
G2S80,80,G2S80,victima,INTERTEMP,igual
G2S81,81,G2S81,EXPARAMILITAR,INTERTEMP,menos
G2S82,82,G2S82,EXGUERRILLERO,INTERTEMP,igual
G2S83,83,G2S83,EXPARAMILITAR,INTERTEMP,menos
G2S84,84,G2S84,EXPARAMILITAR,INTERTEMP,igual
G2S85,85,G2S85,EXGUERRILLERO,INTERTEMP,igual
G2S86,86,g2s86,exguerillero,INTERTEMP,mas
G2S87,87,g2s87,g1s87,INTERTEMP,menos
G2S88,88,G2S88,EXPARAMILITAR,INTERTEMP,menos
G2S91,91,g2s91,victima,INTERTEMP,menos
G2S92,92,G2592,Guerrillero,INTERTEMP,menos
G2S93,93,G2593,exguerrillero,INTERTEMP,igual
G2S94,94,G2594,exparamilitar,INTERTEMP,mas
G2S95,95,G2S95,EXPARAMILITAR,INTERTEMP,menos
G2S96,96,g2s96,ex paramilitar,INTERTEMP,igual
G2S97,97,G2S97,Exguerrillero,INTERTEMP,igual
G2S98,98,G2S98,Exguerrillero,INTERTEMP,menos
G2S99,99,G2S99,EXPARAMILITAR,INTERTEMP,igual
G2S100,100,G2S100,EXPARAMILITAR,INTERTEMP,menos
G2S101,101,G2S101,EXGUERRILLERO,INTERTEMP,menos
G2S102,102,G2S102,VICTIMA,INTERTEMP,menos
G2S103,103,G2103,Victima,INTERTEMP,menos
G2S104,104,G2S104,exparamilitar,INTERTEMP,igual
G2S105,105,G2S105,G1S105,INTERTEMP,mas
G2S106,106,g2s106,exguerrillero,INTERTEMP,menos
G2S107,107,g2s107,exguerrillero,INTERTEMP,igual
G2S108,108,G2s108,victima,INTERTEMP,mas
G2S109,109,G2S109,VICTIMA,INTERTEMP,menos
G2S110,110,G2S110,EXGUERRILLERO,INTERTEMP,menos
G2S111,111,G2S111,EXGUERRILLERO,INTERTEMP,menos
G2S112,112,G2S112,EXGUERRILLERO,INTERTEMP,menos
G2S113,113,G2S113,EXPARAMILITAR,INTERTEMP,menos
G2S114,114,g2s114,exguerrillero,INTERTEMP,igual
G2S115,115,g2s115,exguerillero,INTERTEMP,menos
G2S116,116,g2s116,victima,INTERTEMP,menos
G2S117,117,g2s117,victima,INTERTEMP,menos
G2S118,118,G2S118,EXPARAMILITAR,INTERTEMP,menos
G2S119,119,G2S119,EXPARAMILITAR,INTERTEMP,menos
G2S120,120,G2S120,EXPARAMILITAR,INTERTEMP,menos
G2S121,121,G2S121,VICTIMA,INTERTEMP,igual
G2S122,122,G2S122,EXPARAMILITAR,INTERTEMP,igual
G2S123,123,G2S123,EXPARAMILITAR,INTERTEMP,menos
G2S124,124,G2S124,VICTIMA,INTERTEMP,igual
G2S125,125,G2S125,VICTIMA,INTERTEMP,menos
G2S126,126,G2S126,EXPARAMILITAR,INTERTEMP,menos
G2S127,127,G2S127,exguerrillero,INTERTEMP,menos
G2S128,128,G2S128,victima,INTERTEMP,mas
G2S129,129,G2S129,victima,INTERTEMP,menos
G2S130,130,G2S130,victima,INTERTEMP,menos
G2S131,131,g2s131,exparamilitar,INTERTEMP,menos
G2S132,132,g2s132,exguerrillero,INTERTEMP,menos
G2S133,133,g2s133,victima,INTERTEMP,igual
G2S134,134,g2s134,victima,INTERTEMP,mas
G2S135,135,G2S135,VICTIMA ,INTERTEMP,menos
