GS,id,par
G1S65,65,VICTIMA-EX PARAMILITAR
G1S66,66,EX GUERRILLERO-ESTUDIANTE
G1S66,66,EX GUERRILLERO-EX PARAMILITAR
G1S66,66,TU-ESTUDIANTE
G1S66,66,TU-EX PARAMILITAR
G1S67,67,EX GUERRILLERO-ESTUDIANTE
G1S67,67,EX GUERRILLERO-EX GUERRILLERO
G1S67,67,TU-ESTUDIANTE
G1S67,67,TU-EX GUERRILLERO
G1S68,68,EX PARAMILITAR-ESTUDIANTE
G1S68,68,EX PARAMILITAR-EX PARAMILITAR
G1S68,68,TU-ESTUDIANTE
G1S68,68,TU-EX PARAMILITAR
G1S69,69,TU-ESTUDIANTE
G1S69,69,TU-EX PARAMILITAR
G1S69,69,VICTIMA-ESTUDIANTE
G1S69,69,VICTIMA-EX PARAMILITAR
G1S70,70,EX PARAMILITAR-ESTUDIANTE
G1S70,70,EX PARAMILITAR-VICTIMA
G1S70,70,TU-ESTUDIANTE
G1S70,70,TU-VICTIMA
G1S71,71,EX GUERRILLERO-ESTUDIANTE
G1S71,71,EX GUERRILLERO-EX GUERRILLERO
G1S71,71,TU-ESTUDIANTE
G1S71,71,TU-EX GUERRILLERO
G1S72,72,TU-ESTUDIANTE
G1S72,72,TU-EX GUERRILLERO
G1S72,72,VICTIMA-ESTUDIANTE
G1S72,72,VICTIMA-EX GUERRILLERO
G1S73,73,TU-ESTUDIANTE
G1S73,73,TU-EX GUERRILLERO
G1S73,73,VICTIMA-ESTUDIANTE
G1S73,73,VICTIMA-EX GUERRILLERO
G1S74,74,EX PARAMILITAR-ESTUDIANTE
G1S74,74,EX PARAMILITAR-EX GUERRILLERO
G1S74,74,TU-ESTUDIANTE
G1S74,74,TU-EX GUERRILLERO
G1S75,75,EX PARAMILITAR-ESTUDIANTE
G1S75,75,EX PARAMILITAR-EX PARAMILITAR
G1S75,75,TU-ESTUDIANTE
G1S75,75,TU-EX PARAMILITAR
G1S76,76,TU-ESTUDIANTE
G1S76,76,TU-VICTIMA
G1S76,76,VICTIMA-ESTUDIANTE
G1S76,76,VICTIMA-VICTIMA
G1S77,77,EX GUERRILLERO-ESTUDIANTE
G1S77,77,EX GUERRILLERO-VICTIMA
G1S77,77,TU-ESTUDIANTE
G1S77,77,TU-VICTIMA
G1S78,78,EX GUERRILLERO-ESTUDIANTE
G1S78,78,EX GUERRILLERO-EX GUERRILLERO
G1S78,78,TU-ESTUDIANTE
G1S78,78,TU-EX GUERRILLERO
G1S79,79,TU-ESTUDIANTE
G1S79,79,TU-VICTIMA
G1S79,79,VICTIMA-ESTUDIANTE
G1S79,79,VICTIMA-VICTIMA
G1S80,80,EX PARAMILITAR-ESTUDIANTE
G1S80,80,EX PARAMILITAR-VICTIMA
G1S80,80,TU-ESTUDIANTE
G1S80,80,TU-VICTIMA
G1S81,81,EX GUERRILLERO-ESTUDIANTE
G1S81,81,EX GUERRILLERO-EX PARAMILITAR
G1S81,81,TU-ESTUDIANTE
G1S81,81,TU-EX PARAMILITAR
G1S82,82,EX GUERRILLERO-ESTUDIANTE
G1S82,82,EX GUERRILLERO-EX GUERRILLERO
G1S82,82,TU-ESTUDIANTE
G1S82,82,TU-EX GUERRILLERO
G1S83,83,EX PARAMILITAR-ESTUDIANTE
G1S83,83,EX PARAMILITAR-EX GUERRILLERO
G1S83,83,TU-ESTUDIANTE
G1S83,83,TU-EX GUERRILLERO
G1S84,84,EX GUERRILLERO-ESTUDIANTE
G1S84,84,EX GUERRILLERO-EX PARAMILITAR
G1S84,84,TU-ESTUDIANTE
G1S84,84,TU-EX PARAMILITAR
G1S85,85,TU-ESTUDIANTE
G1S85,85,TU-EX GUERRILLERO
G1S85,85,VICTIMA-ESTUDIANTE
G1S85,85,VICTIMA-EX GUERRILLERO
G1S86,86,TU-ESTUDIANTE
G1S86,86,TU-EX GUERRILLERO
G1S86,86,VICTIMA-ESTUDIANTE
G1S86,86,VICTIMA-EX GUERRILLERO
G1S87,87,TU-ESTUDIANTE
G1S87,87,TU-VICTIMA
G1S87,87,VICTIMA-ESTUDIANTE
G1S87,87,VICTIMA-VICTIMA
G1S88,88,EX GUERRILLERO-ESTUDIANTE
G1S88,88,EX GUERRILLERO-EX GUERRILLERO
G1S88,88,TU-ESTUDIANTE
G1S88,88,TU-EX GUERRILLERO
G1S89,89,EX GUERRILLERO-ESTUDIANTE
G1S89,89,EX GUERRILLERO-EX GUERRILLERO
G1S89,89,TU-ESTUDIANTE
G1S89,89,TU-EX GUERRILLERO
G1S90,90,TU-ESTUDIANTE
G1S90,90,TU-EX PARAMILITAR
G1S90,90,VICTIMA-ESTUDIANTE
G1S90,90,VICTIMA-EX PARAMILITAR
G1S91,91,EX GUERRILLERO-ESTUDIANTE
G1S91,91,EX GUERRILLERO-VICTIMA
G1S91,91,TU-ESTUDIANTE
